Username,Repo_name,Stars,Url,Issues,Pull_Requests,Forks,Topics
SpacehuhnTech,esp8266_deauther,9600,https://github.com/SpacehuhnTech/esp8266_deauther,79,3,2100,Arduino
tinygo-org,tinygo,9400,https://github.com/tinygo-org/tinygo,260,99,534,Arduino
espressif,arduino-esp32,8100,https://github.com/espressif/arduino-esp32,351,31,5100,Arduino
hybridgroup,gobot,7600,https://github.com/hybridgroup/gobot,140,25,951,Arduino
gurugio,lowlevelprogramming-university,7300,https://github.com/gurugio/lowlevelprogramming-university,0,0,527,Arduino
platformio,platformio-core,5700,https://github.com/platformio/platformio-core,178,1,661,Arduino
bblanchon,ArduinoJson,5500,https://github.com/bblanchon/ArduinoJson,19,0,999,Arduino
tzapu,WiFiManager,500,https://github.com/tzapu/WiFiManager,419,35,1600,Arduino
hybridgroup,cylon,3900,https://github.com/hybridgroup/cylon,43,3,373,Arduino
Arduino-IRremote,Arduino-IRremote,3500,https://github.com/Arduino-IRremote/Arduino-IRremote,1,0,1600,Arduino
blynkkk,blynk-library,3300,https://github.com/blynkkk/blynk-library,13,6,1100,Arduino
arduino,arduino-cli,3300,https://github.com/arduino/arduino-cli,227,24,298,Arduino
NectarJS,nectarjs,3200,https://github.com/NectarJS/nectarjs,21,1,110,Arduino
olikraus,u8g2,2800,https://github.com/olikraus/u8g2,139,11,738,Arduino
gioblu,PJON,2600,https://github.com/gioblu/PJON,49,4,233,Arduino
1technophile,OpenMQTTGateway,2500,https://github.com/1technophile/OpenMQTTGateway,69,4,550,Arduino
Serial-Studio,Serial-Studio,2300,https://github.com/Serial-Studio/Serial-Studio,14,1,262,Arduino
scottlawsonbc,audio-reactive-led-strip,2300,https://github.com/scottlawsonbc/audio-reactive-led-strip,92,7,577,Arduino
isl-org,OpenBot,2100,https://github.com/isl-org/OpenBot,10,4,363,Arduino
crankyoldgit,IRremoteESP8266,200,https://github.com/crankyoldgit/IRremoteESP8266,8,2,625,Arduino
scottbez1,splitflap,200,https://github.com/scottbez1/splitflap,14,1,159,Arduino
